Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,107.589996,108.269997,102.18,104.300003,3829800,104.300003
2015-11-02,106.779999,108.57,103.690002,107.169998,2512700,106.562805
2015-10-01,98.959999,107.279999,97.379997,106.529999,2440700,105.92643
2015-09-01,99.949997,105.019997,96.370003,98.720001,4262400,98.160683
2015-08-03,108.989998,109.339996,93.00,102.209999,4829500,101.116264
2015-07-01,108.019997,110.209999,105.910004,108.839996,2831700,107.675316
2015-06-01,109.800003,110.900002,106.650002,107.019997,2619800,105.874794
2015-05-01,108.400002,110.68,107.010002,109.309998,2290800,107.678268
2015-04-01,107.339996,110.279999,106.389999,107.910004,2884900,106.299179
2015-03-02,109.110001,110.089996,105.980003,107.25,2763100,105.649025
2015-02-02,103.489998,109.779999,102.25,109.019997,2912900,106.892044
2015-01-02,106.489998,106.720001,102.419998,103.099998,3931800,101.087601
2014-12-01,106.50,107.709999,101.800003,106.00,3830200,103.930992
2014-11-03,104.190002,107.07,103.150002,106.599998,2143600,103.970833
2014-10-01,101.110001,104.199997,93.580002,104.019997,3744700,101.45446
2014-09-02,104.040001,104.589996,100.900002,101.239998,2113200,98.743027
2014-08-01,99.550003,103.959999,98.559998,103.879997,2274900,100.857643
2014-07-01,102.07,103.00,99.739998,99.739998,1683100,96.838097
2014-06-02,99.800003,102.25,99.160004,101.769997,1827900,98.809036
2014-05-01,97.410004,99.68,96.160004,99.580002,1564100,96.285194
2014-04-01,97.889999,98.849998,94.029999,97.529999,2932500,94.303024
2014-03-03,96.57,98.849998,95.690002,97.470001,2871000,94.24501
2014-02-03,92.839996,97.860001,90.389999,97.400002,3096800,93.767403
2014-01-02,95.760002,96.360001,92.18,92.879997,4205100,89.41597
2013-12-02,94.059998,96.00,92.160004,95.919998,3466800,92.342598
2013-11-01,91.440002,94.339996,90.599998,93.860001,2216800,89.885567
2013-10-01,87.739998,92.400002,85.629997,91.389999,3069700,87.520157
2013-09-03,85.769997,90.230003,84.839996,87.650002,2291400,83.938522
2013-08-01,88.099998,88.690002,84.599998,84.769997,2159100,80.790039
2013-07-01,83.290001,88.00,82.830002,87.419998,2242900,83.315628
2013-06-03,84.449997,85.519997,80.190002,82.669998,3242400,78.788635
2013-05-01,82.110001,87.089996,81.379997,84.269997,2009400,79.937103
2013-04-01,80.949997,82.300003,78.93,82.260002,1861500,78.030457
2013-03-01,77.959999,81.019997,77.510002,80.959999,1831700,76.797302
2013-02-01,77.779999,79.160004,76.669998,78.239998,2125300,73.880135
2013-01-02,74.529999,77.830002,74.50,77.25,2496400,72.945305
2012-12-03,73.269997,74.879997,71.82,73.279999,3233800,69.196526
2012-11-01,72.540001,73.629997,68.900002,72.879997,2138300,68.313339
2012-10-01,73.989998,75.25,71.800003,72.32,1712700,67.788437
2012-09-04,72.139999,75.910004,71.620003,73.650002,1735700,69.035095
2012-08-01,70.669998,73.110001,69.029999,72.209999,1301200,67.357002
2012-07-02,69.870003,71.050003,67.82,70.309998,1409800,65.584694
2012-06-01,66.239998,69.989998,64.940002,69.699997,2113700,65.015686
2012-05-01,71.800003,72.790001,66.300003,67.330002,1901500,62.487972
2012-04-02,72.260002,73.059998,69.57,71.800003,1962000,66.636513
