x,y,color
0,0,yellow
0,1,yellow
0,2,yellow
0,3,yellow
0,4,yellow
0,5,yellow
0,6,yellow
0,7,yellow
0,8,yellow
0,9,yellow
0,10,yellow
0,11,yellow
0,12,yellow
0,13,yellow
0,14,yellow
0,15,yellow
0,16,yellow
0,17,yellow
0,18,yellow
0,19,yellow
0,20,yellow
0,21,yellow
0,22,yellow
0,23,yellow
0,24,yellow
0,25,yellow
0,26,yellow
0,27,yellow
0,28,yellow
0,29,yellow
0,30,yellow
0,31,yellow
0,32,yellow
0,33,yellow
0,34,yellow
0,35,yellow
0,36,yellow
0,37,yellow
0,38,yellow
0,39,yellow
0,40,yellow
0,41,yellow
0,42,yellow
0,43,yellow
0,44,yellow
0,45,yellow
0,46,yellow
0,47,yellow
0,48,yellow
0,49,yellow
0,50,yellow
0,51,yellow
0,52,yellow
0,53,yellow
0,54,yellow
0,55,yellow
0,56,yellow
0,57,yellow
0,58,yellow
0,59,yellow
0,60,yellow
0,61,yellow
0,62,yellow
0,63,yellow
0,64,yellow
0,65,yellow
0,66,yellow
0,67,yellow
0,68,yellow
0,69,yellow
0,70,yellow
0,71,yellow
0,72,yellow
0,73,yellow
0,74,yellow
0,75,yellow
0,76,yellow
0,77,yellow
0,78,yellow
0,79,yellow
0,80,yellow
0,81,yellow
0,82,yellow
0,83,yellow
0,84,yellow
0,85,yellow
0,86,yellow
0,87,yellow
0,88,yellow
0,89,yellow
0,90,yellow
0,91,yellow
0,92,yellow
0,93,yellow
0,94,yellow
0,95,yellow
0,96,yellow
0,97,yellow
0,98,yellow
0,99,yellow
1,0,yellow
1,1,yellow
1,2,yellow
1,3,yellow
1,4,yellow
1,5,yellow
1,6,yellow
1,7,yellow
1,8,yellow
1,9,yellow
1,10,yellow
1,11,yellow
1,12,yellow
1,13,yellow
1,14,yellow
1,15,yellow
1,16,yellow
1,17,yellow
1,18,yellow
1,19,yellow
1,20,yellow
1,21,yellow
1,22,yellow
1,23,yellow
1,24,yellow
1,25,yellow
1,26,yellow
1,27,yellow
1,28,yellow
1,29,yellow
1,30,yellow
1,31,yellow
1,32,yellow
1,33,yellow
1,34,yellow
1,35,yellow
1,36,yellow
1,37,yellow
1,38,yellow
1,39,yellow
1,40,yellow
1,41,yellow
1,42,yellow
1,43,yellow
1,44,yellow
1,45,yellow
1,46,yellow
1,47,yellow
1,48,yellow
1,49,yellow
1,50,yellow
1,51,yellow
1,52,yellow
1,53,yellow
1,54,yellow
1,55,yellow
1,56,yellow
1,57,yellow
1,58,yellow
1,59,yellow
1,60,yellow
1,61,yellow
1,62,yellow
1,63,yellow
1,64,yellow
1,65,yellow
1,66,yellow
1,67,yellow
1,68,yellow
1,69,yellow
1,70,yellow
1,71,yellow
1,72,yellow
1,73,yellow
1,74,yellow
1,75,yellow
1,76,yellow
1,77,yellow
1,78,yellow
1,79,yellow
1,80,yellow
1,81,yellow
1,82,yellow
1,83,yellow
1,84,yellow
1,85,yellow
1,86,yellow
1,87,yellow
1,88,yellow
1,89,yellow
1,90,yellow
1,91,yellow
1,92,yellow
1,93,yellow
1,94,yellow
1,95,yellow
1,96,yellow
1,97,yellow
1,98,yellow
1,99,yellow
2,0,yellow
2,1,yellow
2,2,yellow
2,3,yellow
2,4,yellow
2,5,yellow
2,6,yellow
2,7,yellow
2,8,yellow
2,9,yellow
2,10,yellow
2,11,yellow
2,12,yellow
2,13,yellow
2,14,yellow
2,15,yellow
2,16,yellow
2,17,yellow
2,18,yellow
2,19,yellow
2,20,yellow
2,21,yellow
2,22,yellow
2,23,yellow
2,24,yellow
2,25,yellow
2,26,yellow
2,27,yellow
2,28,yellow
2,29,yellow
2,30,yellow
2,31,yellow
2,32,yellow
2,33,yellow
2,34,yellow
2,35,yellow
2,36,yellow
2,37,yellow
2,38,yellow
2,39,yellow
2,40,yellow
2,41,yellow
2,42,yellow
2,43,yellow
2,44,yellow
2,45,yellow
2,46,yellow
2,47,yellow
2,48,yellow
2,49,yellow
2,50,yellow
2,51,yellow
2,52,yellow
2,53,yellow
2,54,yellow
2,55,yellow
2,56,yellow
2,57,yellow
2,58,yellow
2,59,yellow
2,60,yellow
2,61,yellow
2,62,yellow
2,63,yellow
2,64,yellow
2,65,yellow
2,66,yellow
2,67,yellow
2,68,yellow
2,69,yellow
2,70,yellow
2,71,yellow
2,72,yellow
2,73,yellow
2,74,yellow
2,75,yellow
2,76,yellow
2,77,yellow
2,78,yellow
2,79,yellow
2,80,yellow
2,81,yellow
2,82,yellow
2,83,yellow
2,84,yellow
2,85,yellow
2,86,yellow
2,87,yellow
2,88,yellow
2,89,yellow
2,90,yellow
2,91,yellow
2,92,yellow
2,93,yellow
2,94,yellow
2,95,yellow
2,96,yellow
2,97,yellow
2,98,yellow
2,99,yellow
3,0,yellow
3,1,yellow
3,2,yellow
3,3,yellow
3,4,yellow
3,5,yellow
3,6,yellow
3,7,yellow
3,8,yellow
3,9,yellow
3,10,yellow
3,11,yellow
3,12,yellow
3,13,yellow
3,14,yellow
3,15,yellow
3,16,yellow
3,17,yellow
3,18,yellow
3,19,yellow
3,20,yellow
3,21,yellow
3,22,yellow
3,23,yellow
3,24,yellow
3,25,yellow
3,26,yellow
3,27,yellow
3,28,yellow
3,29,yellow
3,30,yellow
3,31,yellow
3,32,yellow
3,33,yellow
3,34,yellow
3,35,yellow
3,36,yellow
3,37,yellow
3,38,yellow
3,39,yellow
3,40,yellow
3,41,yellow
3,42,yellow
3,43,yellow
3,44,yellow
3,45,yellow
3,46,yellow
3,47,yellow
3,48,yellow
3,49,yellow
3,50,yellow
3,51,yellow
3,52,yellow
3,53,yellow
3,54,yellow
3,55,yellow
3,56,yellow
3,57,yellow
3,58,yellow
3,59,yellow
3,60,yellow
3,61,yellow
3,62,yellow
3,63,yellow
3,64,yellow
3,65,yellow
3,66,yellow
3,67,yellow
3,68,yellow
3,69,yellow
3,70,yellow
3,71,yellow
3,72,yellow
3,73,yellow
3,74,yellow
3,75,yellow
3,76,yellow
3,77,yellow
3,78,yellow
3,79,yellow
3,80,yellow
3,81,yellow
3,82,yellow
3,83,yellow
3,84,yellow
3,85,yellow
3,86,yellow
3,87,yellow
3,88,yellow
3,89,yellow
3,90,yellow
3,91,yellow
3,92,yellow
3,93,yellow
3,94,yellow
3,95,yellow
3,96,yellow
3,97,yellow
3,98,yellow
3,99,yellow
4,0,yellow
4,1,yellow
4,2,yellow
4,3,yellow
4,4,yellow
4,5,yellow
4,6,yellow
4,7,yellow
4,8,yellow
4,9,yellow
4,10,yellow
4,11,yellow
4,12,yellow
4,13,yellow
4,14,yellow
4,15,yellow
4,16,yellow
4,17,yellow
4,18,yellow
4,19,yellow
4,20,yellow
4,21,yellow
4,22,yellow
4,23,yellow
4,24,yellow
4,25,yellow
4,26,yellow
4,27,yellow
4,28,yellow
4,29,yellow
4,30,yellow
4,31,yellow
4,32,yellow
4,33,yellow
4,34,yellow
4,35,yellow
4,36,yellow
4,37,yellow
4,38,yellow
4,39,yellow
4,40,yellow
4,41,yellow
4,42,yellow
4,43,yellow
4,44,yellow
4,45,yellow
4,46,yellow
4,47,yellow
4,48,yellow
4,49,yellow
4,50,yellow
4,51,yellow
4,52,yellow
4,53,yellow
4,54,yellow
4,55,yellow
4,56,yellow
4,57,yellow
4,58,yellow
4,59,yellow
4,60,yellow
4,61,yellow
4,62,yellow
4,63,yellow
4,64,yellow
4,65,yellow
4,66,yellow
4,67,yellow
4,68,yellow
4,69,yellow
4,70,yellow
4,71,yellow
4,72,yellow
4,73,yellow
4,74,yellow
4,75,yellow
4,76,yellow
4,77,yellow
4,78,yellow
4,79,yellow
4,80,yellow
4,81,yellow
4,82,yellow
4,83,yellow
4,84,yellow
4,85,yellow
4,86,yellow
4,87,yellow
4,88,yellow
4,89,yellow
4,90,yellow
4,91,yellow
4,92,yellow
4,93,yellow
4,94,yellow
4,95,yellow
4,96,yellow
4,97,yellow
4,98,yellow
4,99,yellow
5,0,yellow
5,1,yellow
5,2,yellow
5,3,yellow
5,4,yellow
5,5,yellow
5,6,yellow
5,7,yellow
5,8,yellow
5,9,yellow
5,10,yellow
5,11,yellow
5,12,yellow
5,13,yellow
5,14,yellow
5,15,yellow
5,16,yellow
5,17,yellow
5,18,yellow
5,19,yellow
5,20,yellow
5,21,yellow
5,22,yellow
5,23,yellow
5,24,yellow
5,25,yellow
5,26,yellow
5,27,yellow
5,28,yellow
5,29,yellow
5,30,yellow
5,31,yellow
5,32,yellow
5,33,yellow
5,34,yellow
5,35,yellow
5,36,yellow
5,37,yellow
5,38,yellow
5,39,yellow
5,40,yellow
5,41,yellow
5,42,yellow
5,43,yellow
5,44,yellow
5,45,yellow
5,46,yellow
5,47,yellow
5,48,yellow
5,49,yellow
5,50,yellow
5,51,yellow
5,52,yellow
5,53,yellow
5,54,yellow
5,55,yellow
5,56,yellow
5,57,yellow
5,58,yellow
5,59,yellow
5,60,yellow
5,61,yellow
5,62,yellow
5,63,yellow
5,64,yellow
5,65,yellow
5,66,yellow
5,67,yellow
5,68,yellow
5,69,yellow
5,70,yellow
5,71,yellow
5,72,yellow
5,73,yellow
5,74,yellow
5,75,yellow
5,76,yellow
5,77,yellow
5,78,yellow
5,79,yellow
5,80,yellow
5,81,yellow
5,82,yellow
5,83,yellow
5,84,yellow
5,85,yellow
5,86,yellow
5,87,yellow
5,88,yellow
5,89,yellow
5,90,yellow
5,91,yellow
5,92,yellow
5,93,yellow
5,94,yellow
5,95,yellow
5,96,yellow
5,97,yellow
5,98,yellow
5,99,yellow
6,0,yellow
6,1,yellow
6,2,yellow
6,3,yellow
6,4,yellow
6,5,yellow
6,6,yellow
6,7,yellow
6,8,yellow
6,9,yellow
6,10,yellow
6,11,yellow
6,12,yellow
6,13,yellow
6,14,yellow
6,15,yellow
6,16,yellow
6,17,yellow
6,18,yellow
6,19,yellow
6,20,yellow
6,21,yellow
6,22,yellow
6,23,yellow
6,24,yellow
6,25,yellow
6,26,yellow
6,27,yellow
6,28,yellow
6,29,yellow
6,30,yellow
6,31,yellow
6,32,yellow
6,33,yellow
6,34,yellow
6,35,yellow
6,36,yellow
6,37,yellow
6,38,yellow
6,39,yellow
6,40,yellow
6,41,yellow
6,42,yellow
6,43,yellow
6,44,yellow
6,45,yellow
6,46,yellow
6,47,yellow
6,48,yellow
6,49,yellow
6,50,yellow
6,51,yellow
6,52,yellow
6,53,yellow
6,54,yellow
6,55,yellow
6,56,yellow
6,57,yellow
6,58,yellow
6,59,yellow
6,60,yellow
6,61,yellow
6,62,yellow
6,63,yellow
6,64,yellow
6,65,yellow
6,66,yellow
6,67,yellow
6,68,yellow
6,69,yellow
6,70,yellow
6,71,yellow
6,72,yellow
6,73,yellow
6,74,yellow
6,75,yellow
6,76,yellow
6,77,yellow
6,78,yellow
6,79,yellow
6,80,yellow
6,81,yellow
6,82,yellow
6,83,yellow
6,84,yellow
6,85,yellow
6,86,yellow
6,87,yellow
6,88,yellow
6,89,yellow
6,90,yellow
6,91,yellow
6,92,yellow
6,93,yellow
6,94,yellow
6,95,yellow
6,96,yellow
6,97,yellow
6,98,yellow
6,99,yellow
7,0,yellow
7,1,yellow
7,2,yellow
7,3,yellow
7,4,yellow
7,5,yellow
7,6,yellow
7,7,yellow
7,8,yellow
7,9,yellow
7,10,yellow
7,11,yellow
7,12,yellow
7,13,yellow
7,14,yellow
7,15,yellow
7,16,yellow
7,17,yellow
7,18,yellow
7,19,yellow
7,20,yellow
7,21,yellow
7,22,yellow
7,23,yellow
7,24,yellow
7,25,yellow
7,26,yellow
7,27,yellow
7,28,yellow
7,29,yellow
7,30,yellow
7,31,yellow
7,32,yellow
7,33,yellow
7,34,yellow
7,35,yellow
7,36,yellow
7,37,yellow
7,38,yellow
7,39,yellow
7,40,yellow
7,41,yellow
7,42,yellow
7,43,yellow
7,44,yellow
7,45,yellow
7,46,yellow
7,47,yellow
7,48,yellow
7,49,yellow
7,50,yellow
7,51,yellow
7,52,yellow
7,53,yellow
7,54,yellow
7,55,yellow
7,56,yellow
7,57,yellow
7,58,yellow
7,59,yellow
7,60,yellow
7,61,yellow
7,62,yellow
7,63,yellow
7,64,yellow
7,65,yellow
7,66,yellow
7,67,yellow
7,68,yellow
7,69,yellow
7,70,yellow
7,71,yellow
7,72,yellow
7,73,yellow
7,74,yellow
7,75,yellow
7,76,yellow
7,77,yellow
7,78,yellow
7,79,yellow
7,80,yellow
7,81,yellow
7,82,yellow
7,83,yellow
7,84,yellow
7,85,yellow
7,86,yellow
7,87,yellow
7,88,yellow
7,89,yellow
7,90,yellow
7,91,yellow
7,92,yellow
7,93,yellow
7,94,yellow
7,95,yellow
7,96,yellow
7,97,yellow
7,98,yellow
7,99,yellow
8,0,yellow
8,1,yellow
8,2,yellow
8,3,yellow
8,4,yellow
8,5,yellow
8,6,yellow
8,7,yellow
8,8,yellow
8,9,yellow
8,10,yellow
8,11,yellow
8,12,yellow
8,13,yellow
8,14,yellow
8,15,yellow
8,16,yellow
8,17,yellow
8,18,yellow
8,19,yellow
8,20,yellow
8,21,yellow
8,22,yellow
8,23,yellow
8,24,yellow
8,25,yellow
8,26,yellow
8,27,yellow
8,28,yellow
8,29,yellow
8,30,yellow
8,31,yellow
8,32,yellow
8,33,yellow
8,34,yellow
8,35,yellow
8,36,yellow
8,37,yellow
8,38,yellow
8,39,yellow
8,40,yellow
8,41,yellow
8,42,yellow
8,43,yellow
8,44,yellow
8,45,yellow
8,46,yellow
8,47,yellow
8,48,yellow
8,49,yellow
8,50,yellow
8,51,yellow
8,52,yellow
8,53,yellow
8,54,yellow
8,55,yellow
8,56,yellow
8,57,yellow
8,58,yellow
8,59,yellow
8,60,yellow
8,61,yellow
8,62,yellow
8,63,yellow
8,64,yellow
8,65,yellow
8,66,yellow
8,67,yellow
8,68,yellow
8,69,yellow
8,70,yellow
8,71,yellow
8,72,yellow
8,73,yellow
8,74,yellow
8,75,yellow
8,76,yellow
8,77,yellow
8,78,yellow
8,79,yellow
8,80,yellow
8,81,yellow
8,82,yellow
8,83,yellow
8,84,yellow
8,85,yellow
8,86,yellow
8,87,yellow
8,88,yellow
8,89,yellow
8,90,yellow
8,91,yellow
8,92,yellow
8,93,yellow
8,94,yellow
8,95,yellow
8,96,yellow
8,97,yellow
8,98,yellow
8,99,yellow
9,0,yellow
9,1,yellow
9,2,yellow
9,3,yellow
9,4,yellow
9,5,yellow
9,6,yellow
9,7,yellow
9,8,yellow
9,9,yellow
9,10,yellow
9,11,yellow
9,12,yellow
9,13,yellow
9,14,yellow
9,15,yellow
9,16,yellow
