x,y,color
24,81,black
27,92,yellow
41,83,yellow
66,27,black
89,85,yellow
84,47,yellow
33,32,black
80,79,yellow
80,33,black
50,82,yellow
74,31,black
67,82,black
6,58,yellow
19,77,yellow
5,30,yellow
70,3,yellow
9,91,yellow
5,48,yellow
30,60,yellow
64,30,black
32,73,black
46,95,yellow
73,57,yellow
83,15,yellow
28,25,black
48,62,yellow
87,77,yellow
84,63,yellow
14,22,yellow
41,0,yellow
9,7,yellow
79,57,yellow
81,24,yellow
55,9,black
58,21,black
25,21,black
97,7,yellow
5,33,yellow
76,24,black
61,65,yellow
78,62,yellow
56,34,black
90,92,yellow
1,84,yellow
7,43,yellow
94,88,yellow
38,92,yellow
26,65,yellow
77,66,yellow
87,39,yellow
86,10,yellow
24,38,black
23,78,black
49,55,yellow
25,43,yellow
92,32,yellow
84,1,yellow
77,98,yellow
96,60,yellow
23,7,yellow
0,90,yellow
18,82,yellow
38,74,black
90,26,yellow
45,32,black
79,35,black
39,22,black
99,65,yellow
19,57,yellow
72,3,yellow
80,35,black
96,86,yellow
98,74,yellow
25,76,black
14,82,yellow
26,50,yellow
14,28,yellow
38,89,yellow
76,99,yellow
63,4,yellow
20,16,yellow
11,12,yellow
59,1,yellow
95,81,yellow
0,92,yellow
17,29,yellow
86,6,yellow
63,53,yellow
95,99,yellow
35,89,yellow
60,66,yellow
7,35,yellow
21,73,yellow
94,96,yellow
14,80,yellow
34,8,yellow
58,37,black
90,48,yellow
77,67,yellow
26,36,black
91,80,yellow
25,90,yellow
15,33,yellow
0,94,yellow
16,62,yellow
14,35,yellow
23,66,yellow
54,35,black
12,15,yellow
60,65,yellow
76,43,yellow
56,92,yellow
12,62,yellow
85,48,yellow
66,43,yellow
97,1,yellow
92,39,yellow
81,6,yellow
66,18,black
9,86,yellow
75,99,yellow
62,14,black
70,60,yellow
35,47,yellow
64,62,yellow
75,66,yellow
48,85,yellow
10,93,yellow
22,47,yellow
55,5,yellow
45,75,yellow
37,80,black
19,21,yellow
54,42,yellow
38,35,black
47,3,yellow
44,75,yellow
80,18,yellow
79,93,yellow
78,36,black
36,42,yellow
72,21,black
46,43,yellow
5,29,yellow
89,8,yellow
60,23,black
23,0,yellow
42,8,yellow
92,85,yellow
60,67,yellow
21,68,yellow
60,96,yellow
21,95,yellow
78,80,black
29,64,yellow
35,88,black
70,8,yellow
44,17,black
24,58,yellow
14,25,yellow
99,53,yellow
42,82,yellow
39,74,yellow
48,30,black
58,67,yellow
97,88,yellow
25,80,black
61,45,yellow
20,37,black
44,37,black
72,6,yellow
53,25,black
35,65,yellow
48,75,yellow
48,65,yellow
48,79,yellow
28,13,yellow
39,85,yellow
63,86,black
22,31,black
3,84,yellow
74,44,yellow
64,86,black
29,86,black
36,78,black
0,19,yellow
53,3,yellow
83,76,yellow
24,52,yellow
61,4,yellow
87,55,yellow
10,24,yellow
24,33,black
51,30,black
84,78,yellow
65,95,yellow
2,23,yellow
13,23,yellow
80,93,yellow
95,73,yellow
49,90,yellow
40,18,black
31,82,black
9,71,yellow
63,75,black
42,5,yellow
29,48,yellow
43,64,yellow
93,14,yellow
60,69,yellow
73,85,black
70,86,black
34,18,black
87,54,yellow
8,11,yellow
81,26,yellow
56,66,yellow
16,60,yellow
48,68,yellow
20,13,yellow
95,66,yellow
55,67,yellow
64,11,yellow
89,2,yellow
62,71,yellow
63,59,yellow
78,56,yellow
50,54,yellow
6,70,yellow
93,98,yellow
41,79,yellow
40,40,yellow
38,40,yellow
93,75,yellow
34,6,yellow
47,70,yellow
49,30,black
65,26,black
39,69,yellow
36,28,black
9,77,yellow
17,24,yellow
58,8,yellow
75,59,yellow
85,49,yellow
11,37,yellow
33,29,black
38,88,yellow
18,1,yellow
61,80,black
70,87,black
34,29,black
38,72,yellow
65,9,yellow
63,81,black
55,16,black
50,73,yellow
25,15,yellow
13,24,yellow
31,55,yellow
57,15,black
65,79,black
47,39,black
80,89,yellow
29,43,yellow
30,55,yellow
16,6,yellow
41,29,black
65,44,yellow
81,54,yellow
94,36,yellow
10,83,yellow
65,73,black
63,70,yellow
26,14,yellow
68,33,black
99,78,yellow
86,17,yellow
15,20,yellow
33,72,black
49,13,black
44,55,yellow
28,79,black
25,42,yellow
79,7,yellow
15,86,yellow
59,35,black
20,65,yellow
2,4,yellow
24,85,black
84,13,yellow
20,8,yellow
94,12,yellow
93,91,yellow
50,86,yellow
10,95,yellow
91,8,yellow
27,11,yellow
34,1,yellow
55,45,yellow
83,90,yellow
16,26,yellow
72,72,black
64,69,yellow
33,55,yellow
32,21,black
97,76,yellow
41,86,yellow
98,80,yellow
18,13,yellow
57,49,yellow
32,99,yellow
6,80,yellow
91,67,yellow
66,38,black
22,48,yellow
74,71,black
32,30,black
92,43,yellow
42,54,yellow
6,28,yellow
63,91,yellow
92,47,yellow
